"Latest: Time (s)","Latest: Potential 1 (V)","Latest: Potential 2 (V)","Latest: Potential 3 (V)"
649,1.71429,3.7326,1.69231
650,1.71551,3.73138,1.69231
651,1.71429,3.73138,1.69231
652,1.71306,3.73138,1.68742
653,1.71306,3.73138,1.68742
654,1.71306,3.73138,1.68742
655,1.71306,3.73138,1.68742
656,1.71306,3.73138,1.68254
657,1.71062,3.73016,1.68254
658,1.71184,3.73016,1.68254
659,1.71184,3.73016,1.68254
660,1.71062,3.73016,1.68254
661,1.7094,3.72894,1.67766
662,1.7094,3.72894,1.67766
663,1.7094,3.72894,1.67766
664,1.70696,3.72894,1.67766
665,1.70696,3.72894,1.67277
666,1.70696,3.72894,1.67277
667,1.70574,3.72894,1.67277
668,1.70696,3.72772,1.67277
669,1.70452,3.72772,1.67277
670,1.70452,3.72772,1.66789
671,1.70452,3.72772,1.663
672,1.70452,3.7265,1.663
673,1.7033,3.7265,1.663
674,1.70208,3.7265,1.663
675,1.7033,3.7265,1.663
676,1.7033,3.7265,1.65812
677,1.7033,3.7265,1.65812
678,1.70085,3.7265,1.65812
679,1.70208,3.7265,1.65812
680,1.69963,3.72527,1.65812
681,1.70085,3.72527,1.65812
682,1.69963,3.72527,1.65324
683,1.69963,3.72527,1.65324
684,1.69841,3.72527,1.65324
685,1.69963,3.72527,1.65324
686,1.69963,3.72405,1.65324
687,1.69719,3.72405,1.65324
688,1.69719,3.72405,1.64835
689,1.69597,3.72405,1.64835
690,1.69597,3.72405,1.64835
691,1.69597,3.72405,1.64835
692,1.69475,3.72283,1.64347
693,1.69475,3.72283,1.64835
694,1.69475,3.72283,1.64347
695,1.69475,3.72283,1.64347
696,1.69475,3.72283,1.63858
697,1.69231,3.72161,1.63858
698,1.69231,3.72161,1.63858
699,1.69231,3.72161,1.63858
700,1.69231,3.72161,1.6337
701,1.69231,3.72161,1.63858
702,1.68987,3.72039,1.6337
703,1.69231,3.72039,1.6337
704,1.69109,3.72039,1.6337
705,1.69109,3.72039,1.6337
706,1.68987,3.72039,1.6337
707,1.68987,3.72039,1.62882
708,1.69109,3.72039,1.62882
709,1.68864,3.71917,1.62393
710,1.68742,3.71917,1.62882
711,1.68864,3.71917,1.62393
712,1.68742,3.71795,1.62393
713,1.6862,3.71917,1.62393
714,1.68864,3.71917,1.62393
715,1.68742,3.71795,1.62393
716,1.68742,3.71795,1.62393
717,1.6862,3.71795,1.61905
718,1.68498,3.71795,1.61905
719,1.68498,3.71795,1.61905
720,1.68376,3.71795,1.61905
750,1.67766,3.71306,1.59951
751,1.67888,3.71306,1.59951
752,1.67766,3.71306,1.6044
753,1.67888,3.71306,1.59951
754,1.67888,3.71306,1.59951
755,1.67766,3.71184,1.59951
756,1.67766,3.71306,1.59951
757,1.67766,3.71306,1.59951
758,1.67766,3.71184,1.59951
759,1.67766,3.71184,1.59463
760,1.67766,3.71184,1.59951
761,1.67766,3.71184,1.59951
762,1.67888,3.71184,1.59463
763,1.67766,3.71184,1.59951
764,1.67888,3.71184,1.59463
765,1.67766,3.71184,1.59463
766,1.67766,3.71184,1.59463
767,1.67888,3.71184,1.59463
768,1.67643,3.71184,1.59463
769,1.67766,3.71184,1.59463
770,1.67888,3.71184,1.59951
771,1.67766,3.71184,1.59951
772,1.67888,3.71184,1.59463
773,1.67766,3.71184,1.59463
774,1.67766,3.71184,1.59463
775,1.67888,3.71184,1.59463
776,1.6801,3.71184,1.59463
777,1.67888,3.71184,1.59463
778,1.67888,3.71184,1.59463
779,1.67888,3.71184,1.59951
780,1.68132,3.71184,1.59951
781,1.6801,3.71184,1.59463
782,1.6801,3.71184,1.59951
783,1.6801,3.71184,1.59951
784,1.68132,3.71184,1.59951
785,1.6801,3.71184,1.59951
786,1.6801,3.71306,1.6044
787,1.68132,3.71306,1.59951
788,1.68132,3.71306,1.59951
789,1.68254,3.71306,1.59951
790,1.68254,3.71306,1.59951
791,1.68254,3.71306,1.6044
792,1.68254,3.71306,1.59951
793,1.68376,3.71306,1.6044
794,1.68498,3.71306,1.6044
795,1.68376,3.71429,1.6044
796,1.68254,3.71429,1.6044
797,1.68498,3.71429,1.60928
798,1.6862,3.71429,1.6044
799,1.68498,3.71429,1.60928
800,1.6862,3.71429,1.6044
801,1.68498,3.71429,1.6044
802,1.6862,3.71551,1.60928
803,1.6862,3.71551,1.60928
804,1.6862,3.71551,1.60928
805,1.6862,3.71551,1.61416
806,1.68864,3.71551,1.61416
807,1.68864,3.71551,1.61416
808,1.68864,3.71551,1.61416
809,1.68864,3.71551,1.61416
810,1.68987,3.71673,1.61416
811,1.68987,3.71673,1.61905
812,1.69109,3.71673,1.61416
813,1.69109,3.71673,1.61905
814,1.69231,3.71673,1.62393
815,1.69231,3.71795,1.61905
816,1.69475,3.71795,1.62393
817,1.69353,3.71795,1.62393
818,1.69353,3.71795,1.62393
819,1.69353,3.71917,1.62393
820,1.69475,3.71917,1.62393
821,1.69597,3.71917,1.62882
822,1.69597,3.71917,1.62882
823,1.69597,3.71917,1.62882
824,1.69719,3.71917,1.62882
825,1.69719,3.72039,1.6337
826,1.69963,3.72039,1.6337
827,1.69841,3.72039,1.6337
828,1.69963,3.72161,1.6337
829,1.69963,3.72161,1.63858
830,1.69963,3.72161,1.63858
831,1.70085,3.72161,1.63858
832,1.70208,3.72283,1.63858
833,1.70208,3.72283,1.64347
834,1.7033,3.72283,1.64347
835,1.70452,3.72283,1.64347
836,1.70452,3.72283,1.64347
837,1.7033,3.72405,1.64347
